#OTU ID	984N2	948N2	954P	973P2	981P	985P	951N	962P	706C	970P2	947N2	952P2	971P2	948N	978P2	922C2	739N	921C2	950N2	742P	701C	702C	919C	980N	960N2	920C	960N	988P2	972P	923C	705C	929C2	947N	958P2	922C	953P	706C2	918C	742P2	702C2	950N	990P2	737P	926C2	927C2	735P2	741P	732N2	990P	970P	975N	967N	917C	958P	739N2	971P	983N2	743P	983N	957P2	928C	740P	985P2	988P	918C2	924C	929C	951N2	987P	949N2	923C2	963P	916C2	982N	972P2	701C2	949N	966N	963P2	979N2	955N2	926C	952P	925C2	924C2	732N	921C	705C2	956N	986N	736N	741P2	928C2	956N2	930C	989N	736N2	986N2	919C2	981P2	955N	925C	962P2	734N	957P	978P	737P2	744P2	975N2	927C	973P	744P	989N2	735P	954P2	953P2	916C	984N
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Barnesiellaceae	18	2	0	263	0	0	390	29	4	130	0	24	0	0	281	3	24	52	251	92	0	6	21	0	0	0	0	0	0	2	0	0	0	0	2	0	2	0	176	30	322	0	76	2	34	0	288	0	7	156	131	2	21	0	87	2	0	0	2	124	24	89	3	2	2	73	0	264	83	2	0	57	0	2	0	2	4	2	273	319	16	0	43	46	217	0	54	0	36	244	0	47	293	21	0	11	4	306	21	0	14	0	66	0	32	423	31	0	153	99	128	0	0	2	0	0	0	4
d__Bacteria;p__Firmicutes;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae	49	7	0	24	0	0	115	111	37	0	74	0	55	17	89	85	2	12	0	16	7	25	45	67	110	0	136	100	0	49	0	79	300	0	6	0	311	31	30	32	0	29	17	0	33	93	5	0	5	0	19	1	0	0	0	78	0	42	119	61	207	87	0	45	35	3	89	106	0	0	50	207	0	0	0	0	2	0	133	0	0	0	0	0	30	0	12	0	6	0	75	54	56	11	32	0	26	0	50	0	0	0	66	29	240	630	57	0	25	270	98	0	0	31	0	0	0	11
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae	47	7	213	45	0	0	41	57	20	130	74	13	128	0	88	384	25	30	34	50	4	45	135	73	32	0	55	24	69	0	27	10	145	0	120	0	45	19	141	61	156	15	39	0	70	42	129	71	8	81	196	146	16	0	29	4	0	2	4	73	69	49	38	148	11	38	19	27	35	100	5	127	0	0	84	0	14	0	177	0	3	0	43	0	55	150	32	107	44	0	100	53	194	46	0	10	14	0	122	0	6	8	88	53	55	234	31	0	34	161	63	168	0	6	58	0	0	17
d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae	6	7	14	15	62	0	41	7	0	46	25	3	17	0	46	39	9	4	34	30	0	14	22	6	2	48	0	10	5	38	58	8	14	0	16	0	56	9	14	5	61	14	34	0	7	58	50	0	11	8	105	37	2	0	6	0	0	56	21	20	11	43	31	6	11	9	34	7	0	40	4	70	0	0	23	2	13	0	31	16	0	0	11	0	10	0	6	68	5	0	0	19	15	0	10	3	0	4	30	47	0	0	10	15	27	55	13	0	20	8	15	17	2	5	14	0	0	7
d__Bacteria;p__Firmicutes;c__Clostridia;o__Christensenellales;f__Christensenellaceae	11	6	17	9	0	11	2	17	81	7	0	0	0	4	0	17	105	61	238	399	0	27	19	0	0	0	4	2	0	0	2	8	0	97	18	0	2	2	1200	43	189	0	2	8	9	4	0	0	0	10	2	0	0	159	6	0	0	0	8	5	27	13	0	4	0	10	55	0	0	0	0	53	0	2	0	0	0	0	22	4	0	4	0	0	21	0	28	6	144	0	0	0	44	110	0	5	0	0	257	3	0	0	296	29	15	5	0	0	3	20	10	0	0	2	14	0	0	4
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae	26	4	4	12	29	7	11	10	0	202	148	6	4	14	3	106	6	20	0	2	0	5	13	9	35	10	26	4	14	97	4	6	867	0	7	2	31	12	7	8	4	0	7	0	8	14	8	30	2	10	0	24	0	0	0	0	0	33	30	0	18	59	6	12	35	0	2	0	0	2	8	8	0	86	5	3	7	0	0	2	0	0	0	4	2	2	15	3	5	0	69	208	0	4	0	170	7	0	10	10	0	0	7	0	0	15	14	0	8	0	0	3	28	2	6	13	0	50
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pasteurellaceae	10	8	7	0	0	0	3	9	0	0	2	10	10	6	2	15	4	42	0	5	15	0	39	0	0	4	0	0	2	6	0	0	8	0	2	0	0	14	0	0	0	3	263	4	0	0	0	4	13	0	2	2	0	0	5	74	0	0	80	0	2	5	11	0	22	10	2	2	0	7	53	21	0	7	0	7	11	4	6	2	260	7	45	14	0	0	3	2	2	0	2	4	0	7	0	12	6	2	0	0	10	0	2	4	0	5	10	0	0	3	0	0	6	3	8	4	4	37
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae	7	0	2	6	54	0	0	8	7	0	0	45	4	29	6	12	4	2	2	11	30	0	16	0	4	2	4	0	0	13	6	21	18	2	0	21	44	0	8	0	5	22	31	4	6	10	4	58	17	0	1	3	22	5	7	181	0	6	16	0	4	4	13	2	10	3	13	0	2	6	104	21	0	257	7	28	17	0	0	0	24	6	39	45	4	14	2	6	15	6	14	16	2	9	2	59	4	15	18	28	2	11	0	4	9	20	15	0	10	0	5	0	2	8	9	0	4	36
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae	16	0	51	11	0	0	15	4	0	31	22	17	20	2	0	6	8	0	44	34	0	9	0	21	0	10	0	18	9	0	126	19	87	0	0	80	0	0	26	12	103	0	34	0	12	30	2	0	0	9	39	14	5	0	0	4	0	14	0	19	4	10	0	31	0	5	18	18	0	0	0	38	0	0	22	3	2	19	10	0	0	0	9	0	58	0	0	167	25	0	0	2	11	11	11	108	0	0	0	0	0	0	26	0	3	0	29	0	5	17	14	0	68	0	80	13	0	13
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae	12	8	52	8	60	111	61	14	26	165	4	127	179	14	78	10	0	10	20	37	38	8	3	6	46	84	22	4	8	49	16	125	43	37	0	20	92	2	41	20	140	85	85	15	51	14	14	25	17	10	43	17	14	266	4	30	0	8	363	8	7	22	48	12	11	20	122	59	20	61	313	27	0	360	264	118	92	3	33	31	114	15	68	150	57	9	8	43	24	52	2	20	2	36	10	22	8	28	20	96	44	147	114	56	10	145	44	0	19	16	7	33	0	8	107	50	0	6
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae	3	0	2	591	0	0	3	7	4	83	0	0	1	19	2	1033	19	0	8	2	0	0	2	34	0	0	0	0	2	2	0	0	0	30	106	0	0	0	7	0	2	10	23	0	0	143	21	0	0	95	0	0	0	19	50	0	0	0	0	0	24	312	0	8	0	0	0	0	26	0	0	0	0	0	0	0	0	0	10	0	0	0	0	2	0	0	0	0	9	0	0	5	46	0	0	3	0	0	0	2	4	0	0	27	0	0	48	0	0	0	38	0	0	203	5	0	0	0
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriales_Incertae_Sedis	3	0	2	0	0	0	0	0	0	74	0	77	0	0	0	7	8	2	0	10	0	0	0	19	0	0	2	0	0	0	19	7	0	0	0	0	9	0	2	0	13	2	0	0	0	16	24	0	0	0	0	29	0	0	15	0	0	0	0	0	9	9	0	0	0	0	10	0	4	0	0	7	0	0	0	0	0	0	8	2	0	0	3	0	0	0	1	8	0	0	0	28	0	0	0	31	0	0	0	0	8	0	52	1	0	0	0	0	0	0	0	0	0	5	103	0	0	2
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcaceae	8	11	22	35	324	11	169	42	0	9	43	4	12	137	41	200	30	39	81	25	0	11	153	7	8	31	7	4	10	455	0	36	14	0	15	42	121	4	17	0	93	0	159	10	0	43	37	39	0	2	21	6	2	0	2	4	0	18	340	0	29	11	73	0	35	13	24	23	11	81	66	31	0	194	31	23	17	0	13	2	3	120	122	4	9	2	26	4	77	5	46	177	2	132	38	308	38	65	27	4	12	0	81	4	5	17	7	0	17	88	9	4	40	7	15	11	8	206
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae	2	7	0	0	0	0	4	2	0	2	3	0	0	2	3	9	0	0	0	0	0	0	2	0	0	0	0	2	0	0	2	0	6	0	2	5	2	5	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	29	5	0	0	20	0	0	10	2	0	0	0	2	3	4	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	2	2	2	0	0	0	0	0	2	0	2	2	2	0	0	0	0	0	0	0	2	0	3
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae	2	0	8	21	0	16	2	0	0	22	6	9	13	0	4	12	3	2	6	9	4	13	26	15	9	0	2	7	4	8	11	2	4	0	0	8	37	0	9	6	14	10	7	43	7	9	16	9	0	3	12	32	21	0	14	0	0	2	17	12	0	14	2	11	4	2	15	7	2	4	5	2	0	17	34	0	6	5	6	9	6	28	3	7	0	6	0	7	0	3	4	17	0	0	0	17	5	8	49	2	6	4	28	7	0	2	20	0	0	0	6	6	2	0	20	37	0	0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae	2	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	8	2	0	0	2	0	10	0	0	0	0	2	0	0	4	0	0	0	2	0	0	0	0	0	0	0	0	2	2	2	5	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	3	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__UCG-010	2	0	0	0	0	0	0	11	0	0	0	0	0	0	0	24	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	2	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	2	0	0	0	11	0	0	0	0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae	0	19	19	0	0	0	47	110	2	85	45	74	650	86	574	284	44	56	69	24	81	49	0	44	0	72	0	0	14	108	21	96	206	3	48	52	4	4	50	137	235	132	57	18	44	56	89	194	67	43	411	69	0	0	8	4	0	61	185	12	20	36	17	0	33	21	36	22	21	19	157	82	0	164	69	163	21	29	41	24	0	14	23	2	326	36	22	6	52	98	0	107	45	28	115	7	0	108	0	5	0	3	865	0	12	102	50	0	211	20	2	28	0	8	28	247	2	9
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae	0	10	2	2	0	0	0	0	0	0	189	0	0	0	3	0	0	0	0	0	0	3	0	0	1	5	0	0	0	0	0	2	0	0	0	0	4	4	0	0	0	0	40	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	13	5	0	0	3	0	0	2	0	0	0	8	0	0	0	0	0	0	0	0	0	24	42	0	0	0	3	0	2	0	0	0	0	0	4	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0
d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales-Selenomonadales;f__Veillonellaceae	0	10	319	2	0	25	2	3	0	24	19	17	122	48	0	80	10	20	8	7	2	3	6	5	4	87	2	2	10	10	175	2	0	9	7	147	3	8	14	0	83	0	50	17	73	0	0	6	0	39	47	36	12	0	17	33	0	113	86	177	30	4	178	0	4	100	0	0	19	62	4	2	0	61	70	13	85	27	0	38	35	15	125	18	762	4	17	88	29	17	0	0	0	29	0	15	0	20	2	0	305	0	4	0	44	5	79	0	49	7	0	44	7	0	594	23	12	3
d__Bacteria;p__Firmicutes;c__Clostridia;__;__	0	7	0	0	0	0	0	2	0	0	0	19	36	0	1	2	3	0	0	0	1011	0	0	0	0	0	1	0	0	51	119	0	23	0	0	8	0	24	2	0	2	0	0	1913	0	0	2	27	8	20	6	0	0	0	0	0	0	0	0	0	30	4	0	0	0	0	380	4	0	0	2	1	22	0	0	0	38	14	0	2	0	0	4117	0	2	0	0	0	0	32	0	0	0	52	0	0	0	0	0	0	33	1577	0	0	37	243957	0	0	0	0	0	72	0	0	0	0	27	0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Dysgonomonadaceae	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	8	0	402	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Verrucomicrobiota;c__Lentisphaeria;o__Victivallales;f__Victivallaceae	0	0	66	0	0	0	56	24	0	0	0	0	0	0	0	0	4	22	0	16	0	0	0	0	0	0	2	0	0	2	0	0	3	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	5	0	0	2	0	11	0	10	0	0	0	17	0	0	0	0	0	0	26	0	0	0	0	0	21	0	4	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	11	4	0	0	0	0	0	50	0	0	0	0	10	0	0	0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__[Eubacterium]_coprostanoligenes_group	0	0	14	7	3	12	0	81	14	27	0	12	11	0	0	823	2	60	200	55	0	51	5	54	0	0	0	10	0	3	4	13	0	10	368	5	77	0	12	43	475	0	81	9	39	33	52	10	4	27	19	11	14	5	13	2	0	0	4	0	8	100	14	7	0	18	37	0	6	10	0	25	0	0	0	0	31	0	452	0	0	28	32	7	8	0	9	16	50	0	0	18	2	19	0	8	0	2	46	0	0	0	336	83	8	4	11	0	2	20	11	2	0	4	14	0	0	0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptococcales;f__Peptococcaceae	0	0	18	0	0	0	0	0	0	0	0	0	0	7	0	23	0	0	0	3	0	0	3	0	0	0	0	0	0	0	0	0	0	5	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	3	0	0	0	0	0	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	13	5	0	0	0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_vadinBB60_group;f__Clostridia_vadinBB60_group	0	0	11	0	0	93	6	43	0	6	0	0	10	0	0	1329	2	9	27	5	0	0	5	2	0	0	0	0	0	0	0	4	2	4	225	0	2	0	12	2	125	7	0	0	0	4	55	0	0	4	0	2	3	15	0	0	0	0	2	2	0	10	0	0	0	2	0	0	0	4	0	0	0	3	0	0	0	0	8	2	0	0	5	0	11	0	0	2	0	0	0	7	34	0	0	0	0	0	0	2	0	0	44	42	5	0	0	0	0	0	0	0	0	4	2	3	0	0
d__Bacteria;p__Firmicutes;c__uncultured;o__uncultured;f__uncultured	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	16	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae	0	0	4	5	0	0	0	13	0	0	0	0	2	0	0	18	4	5	7	4	7	0	22	0	0	0	0	0	0	33	0	0	0	0	3	4	0	3	0	0	0	0	2	15	2	11	5	0	0	0	0	0	0	0	5	0	0	0	32	0	2	0	0	0	0	0	0	0	0	0	18	5	0	19	0	7	0	0	0	0	0	11	0	6	0	0	0	2	25	0	5	4	0	47	0	7	0	7	6	0	0	0	3	0	0	0	3	0	5	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Firmicutes;c__Incertae_Sedis;o__DTU014;f__DTU014	0	0	4	0	0	3	0	3	36	0	0	0	0	0	0	0	0	0	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	17	0	5	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	2	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	2	0	0	0	0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Anaerovoracaceae	0	0	0	5	0	5	4	0	0	4	0	0	2	0	0	4	0	0	4	10	0	3	4	3	0	2	0	0	2	0	7	0	0	0	6	0	9	0	7	16	6	0	0	0	3	0	0	0	0	0	6	2	0	2	0	0	0	2	4	0	0	3	0	0	1	2	0	4	0	0	0	16	0	0	4	0	2	0	2	2	0	0	2	0	4	0	0	8	17	0	0	0	0	3	0	10	0	0	6	0	0	0	2	9	2	0	0	0	0	0	4	0	0	0	0	0	0	0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_UCG-014;f__Clostridia_UCG-014	0	0	0	0	320	0	0	11	2	0	0	0	0	8	0	0	0	15	135	7	0	10	13	5	0	0	0	0	0	0	0	0	0	2	0	0	0	0	85	41	92	0	0	0	6	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	60	41	0	0	0	23	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	22	0	25	0	5	0	0	0	0	0	19	2	0	2	0	0	0	6	0	0	38	0	0	0	0	0	0	5	0	0	0	0	18	0	0	0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Listeriaceae	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Izemoplasmatales;f__Izemoplasmatales	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0
